Partner Name,Year,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Us Msc.Pac.I,1999,775977.54,145521.84,100.0,100,,,,7.37,5.74,1347.0,48.11,46.1,3.86,1.93,60.0,0.0,23963.54,79166.67,14892.24,15.43,14.35,82394.0,67.38,19.42,595.17,211.88,3000.0,0.0,93384.95,94058.91,0.0
Uzbekistan,1999,2075274.33,1765868.87,100.0,100,,,,15.11,3.11,2351.0,55.25,41.22,1.91,1.62,3000.0,0.0,807546.17,1039679.15,31575.15,12.78,6.34,68171.0,63.99,21.27,337.01,90.22,3000.0,0.0,1071078.59,1071254.3,0.0
St. Vincent and the Grenadines,1999,314043.65,180182.99,100.0,100,1.0,2.22,2.22,12.46,8.95,1861.0,48.9,33.05,15.91,2.15,154.39,0.0,56654.68,121873.59,96049.3,16.67,15.47,64254.0,69.64,17.23,291.3,162.17,3000.0,0.0,217838.79,217922.89,0.0
Venezuela,1999,12621236.03,19987285.01,100.0,100,1.0,-2.47,-2.47,8.86,5.22,25583.0,62.68,21.41,14.65,1.26,1350.94,0.0,18808699.51,20358114.47,250322.25,12.88,8.75,364463.0,67.68,18.42,157.21,40.75,3000.0,0.0,20539445.71,20608436.72,0.0
British Virgin Islands,1999,2516390.03,178105.96,100.0,100,,,,9.94,1.92,2651.0,51.53,20.67,22.71,5.09,1350.94,0.0,3277.41,193266.96,35605.54,13.94,9.31,77427.0,67.11,20.21,294.45,75.9,3000.0,0.0,228830.98,228872.5,0.0
Vietnam,1999,10900779.18,11077096.46,100.0,100,,,,9.97,13.76,30048.0,61.72,29.76,3.49,5.02,3000.0,0.0,6983427.59,10499785.5,103411.42,14.37,15.45,370371.0,68.75,17.61,124.95,43.1,3000.0,0.0,10580488.62,10603196.92,0.0
Vanuatu,1999,166438.29,66781.35,100.0,100,,,,7.96,13.61,724.0,17.54,78.59,0.55,3.31,3000.0,0.0,0.78,37465.55,4949.81,14.07,14.03,28324.0,61.37,25.77,372.51,130.66,3000.0,0.0,42397.3,42415.36,0.0
 World,1999,5470674759.4,5617548063.76,100.0,100,1.0,2.52,2.52,10.32,9.38,6542674.0,59.37,29.27,8.25,3.1,3000.0,0.0,4045665708.12,4079720532.88,811.53,13.04,12.12,639223.0,66.12,19.1,1.13,0.32,3000.0,0.0,4052227510.05,4079755204.97,0.0
Wallis and Futura Isl.,1999,296175.76,261.63,100.0,100,,,,4.5,7.47,89.0,47.19,41.57,11.24,0.0,18.0,0.0,6.65,548.36,109.27,13.37,30.26,3496.0,71.0,14.47,420.22,150.56,3000.0,0.0,657.63,657.63,0.0
Samoa,1999,118718.66,53848.23,100.0,100,,,,5.87,1.45,496.0,16.53,81.85,1.21,0.4,40.0,0.0,5.77,39827.78,11226.73,14.84,13.76,24113.0,64.19,21.58,475.0,216.94,3000.0,0.0,51053.64,51054.51,0.0
Yemen,1999,1943800.84,2385080.54,100.0,100,,,,17.48,7.52,3462.0,42.98,51.76,3.67,1.59,3000.0,0.0,2130188.32,2277487.29,27082.78,14.54,6.37,137047.0,66.69,19.55,397.49,147.26,3000.0,0.0,2302511.62,2304570.07,0.0
South Africa,1999,21656650.63,29894673.88,100.0,100,1.0,-4.87,-4.87,13.17,7.93,65591.0,61.4,28.02,6.7,3.88,3000.0,0.0,14907286.56,26720461.92,321117.15,12.78,11.39,592517.0,66.32,18.97,104.21,28.62,3000.0,0.0,26835582.75,27041579.07,0.0
"Congo, Dem. Rep.",1999,497821.04,1193687.76,100.0,100,,,,7.68,0.88,2381.0,11.8,77.78,4.66,5.75,1350.94,0.0,91179.67,905464.81,297633.09,14.1,11.3,61158.0,63.37,22.36,268.08,98.4,3000.0,0.0,1202992.84,1203097.9,0.0
Zambia,1999,653154.73,660789.38,100.0,100,1.0,-13.53,-13.53,15.72,5.0,3426.0,40.25,54.06,2.98,2.71,1350.94,0.0,4224.85,1207285.02,47500.39,12.78,6.78,147024.0,65.5,20.49,471.72,129.71,3000.0,0.0,1254334.77,1254785.41,0.0
Zimbabwe,1999,1636890.04,1913719.2,100.0,100,,,,7.58,15.73,8393.0,29.41,57.81,6.64,6.15,1350.94,0.0,834314.98,1523353.46,142996.74,14.25,19.75,230635.0,67.46,18.56,284.24,100.07,3000.0,0.0,1660691.48,1666350.2,0.0
East Asia & Pacific,1999,1016431301.66,1371345679.85,100.0,100,,,,10.64,10.81,1384492.0,62.95,26.66,7.35,3.05,3000.0,0.0,1289627192.89,1344287104.11,49343.11,13.0,12.38,638714.0,66.12,19.1,5.32,1.5,3000.0,0.0,1332998456.83,1344336447.22,0.0
Europe & Central Asia,1999,2434972144.72,2414425947.01,100.0,100,,,,9.98,9.0,2865682.0,57.81,31.52,7.59,3.07,3000.0,0.0,992893099.3,1013609118.01,41553.55,13.03,12.48,639068.0,66.12,19.1,2.57,0.73,3000.0,0.0,1006602144.99,1013650671.56,0.0
Latin America & Caribbean,1999,295431447.81,307655775.79,100.0,100,,,,8.56,9.86,609074.0,57.93,28.62,11.21,2.24,3000.0,0.0,290341873.93,299962210.1,343527.55,12.96,14.89,632259.0,66.16,19.06,11.94,3.4,3000.0,0.0,298733885.61,300305737.65,0.0
Middle East & North Africa,1999,179198383.82,203485065.58,100.0,100,,,,10.66,6.87,286445.0,55.54,33.9,6.8,3.76,3000.0,0.0,183330784.78,205701918.9,212128.18,13.08,8.17,616279.0,66.35,18.96,24.59,7.01,3000.0,0.0,205406638.21,205914047.08,0.0
North America,1999,1187392171.01,971008471.71,100.0,100,,,,10.8,10.12,510528.0,61.87,23.09,11.87,3.17,3000.0,0.0,922686203.99,932421136.02,20842.76,12.98,11.71,638905.0,66.11,19.11,14.42,4.08,3000.0,0.0,926857798.77,932441978.78,0.0
South Asia,1999,55995413.91,57723525.45,100.0,100,,,,10.35,11.33,190900.0,61.88,27.46,7.02,3.63,3000.0,0.0,45703454.18,54915777.96,101985.16,12.91,16.19,616427.0,66.28,18.96,37.3,10.38,3000.0,0.0,54685057.45,55017763.12,0.0
Sub-Saharan Africa,1999,65015732.86,78837473.26,100.0,100,,,,10.99,6.19,191016.0,38.0,52.12,5.58,4.3,3000.0,0.0,51325051.2,74720617.14,546253.47,12.92,10.3,614822.0,66.26,19.03,36.91,10.45,3000.0,0.0,74963933.57,75266870.6,0.0
Aruba,2000,1002957.23,1748249.0,100.0,100,1.0,,,11.39,4.81,2396.0,41.49,35.43,6.72,16.36,105.79,0.0,1786444.34,1921823.8,80751.98,12.63,9.5,112165.0,69.65,21.29,173.83,250.04,3000.0,0.0,1923644.72,2002575.79,0.0
Afghanistan,2000,655499.97,116320.44,100.0,100,,,,13.29,6.89,4037.0,42.9,55.41,0.45,1.24,175.0,0.0,3732.97,162642.54,34980.92,12.18,9.99,178799.0,71.55,22.48,122.54,141.79,3000.0,0.0,175479.19,197623.46,0.0
Angola,2000,2926093.95,7986491.71,100.0,100,,,,3.71,1.86,3991.0,10.42,85.59,0.1,3.88,317.47,0.0,3.87,8057783.7,1508597.3,10.01,5.01,109254.0,70.53,24.19,72.49,71.96,1800.0,0.0,8262213.06,9566381.0,0.0
Anguila,2000,62405.8,4475.07,100.0,100,1.0,,,14.8,7.53,1094.0,49.45,21.12,1.83,27.61,1289.58,0.0,432.22,3023.26,1040.3,13.73,20.22,51409.0,70.48,18.22,177.97,352.65,3000.0,0.0,3833.38,3973.48,90.08
Albania,2000,1762974.99,292164.84,100.0,100,1.0,-2.85,-2.85,5.13,6.07,10360.0,52.9,40.4,0.49,6.22,1289.58,0.0,14094.08,442586.46,103132.16,12.71,13.79,234853.0,74.16,19.56,63.61,78.75,3000.0,0.0,539184.25,545718.62,0.0
Andorra,2000,1823331.77,42850.49,100.0,100,1.0,-3.14,-3.14,1.83,1.32,8262.0,8.4,88.93,0.12,2.55,94.67,0.0,169.85,24188.86,50041.59,13.25,12.12,219736.0,72.45,20.0,82.8,117.9,3000.0,0.0,63294.63,74230.45,0.0
Netherlands Antilles,2000,4937880.09,1880620.76,100.0,100,,,,12.54,5.97,13323.0,64.98,26.87,6.76,1.39,247.47,0.0,1600682.72,1833913.12,169154.83,13.37,8.99,432081.0,73.79,18.52,106.97,142.25,3000.0,0.0,1891146.77,2003067.94,0.0
United Arab Emirates,2000,45908705.12,36310951.52,100.0,100,1.0,2.44,2.44,14.35,5.93,81927.0,68.23,28.03,0.82,2.93,3000.0,0.0,26869024.0,38046023.64,39386.57,12.11,6.29,821445.0,72.6,19.82,33.83,42.21,3000.0,0.0,36623309.87,38085410.21,0.0
Argentina,2000,28181509.66,26564033.27,100.0,100,1.0,-0.45,-0.45,8.21,12.25,77975.0,55.96,36.21,1.76,6.06,3000.0,0.0,10023226.48,31224534.26,280886.07,12.02,14.83,774572.0,72.37,20.17,33.38,40.77,3000.0,0.0,22870598.41,31505420.33,0.0
Armenia,2000,698584.02,273962.47,100.0,100,1.0,1.8,1.8,14.22,2.41,2934.0,47.27,42.6,0.55,9.58,348.86,0.0,76.56,80367.97,224935.78,10.78,9.77,137427.0,69.3,23.53,157.94,177.88,3000.0,0.0,142125.73,305303.75,0.0
American Samoa,2000,121529.17,16164.11,100.0,100,,,,9.26,5.94,619.0,59.94,33.76,2.1,4.2,60.0,0.0,326.83,9513.52,5325.0,11.08,10.42,78392.0,69.4,23.1,403.07,546.53,3000.0,0.0,9235.57,14838.52,0.0
Antarctica,2000,60825.15,5416.41,100.0,100,,,,4.82,2.13,532.0,71.43,28.57,0.0,0.0,30.0,0.0,0.0,3218.55,2120.75,10.36,6.82,14788.0,69.04,27.76,63.35,25.75,300.0,0.0,5260.02,5339.29,0.0
Fr. So. Ant. Tr,2000,8977.33,145.86,100.0,100,,,,12.88,7.98,43.0,58.14,34.88,6.98,0.0,40.0,0.0,4.04,55.48,50.98,13.48,10.49,5653.0,74.05,22.34,279.07,195.35,220.0,0.0,105.46,106.46,0.0
Antigua and Barbuda,2000,1743600.25,134255.26,100.0,100,1.0,-2.53,-2.53,9.88,1.5,3023.0,33.77,53.75,10.16,2.32,329.98,0.0,2829.29,43260.98,163354.73,12.8,5.26,152465.0,72.2,19.47,163.94,256.14,3000.0,0.0,202532.88,206615.71,0.0
Australia,2000,77830934.21,69687519.99,100.0,100,1.0,4.76,4.76,8.03,10.14,151972.0,62.02,30.83,1.11,6.04,3000.0,0.0,17281389.25,71745995.44,704885.75,11.74,12.29,884187.0,72.08,20.41,19.77,23.93,3000.0,0.0,63300657.14,72310776.06,140105.13
Austria,2000,65730675.86,57280137.54,100.0,100,1.0,1.78,1.78,9.08,8.93,112400.0,64.72,31.52,1.12,2.64,3000.0,0.0,3795121.26,15197748.16,115371.9,11.71,9.57,836824.0,72.52,20.13,25.57,29.16,3000.0,0.0,13620581.17,15313120.05,0.0
Azerbaijan,2000,1767496.51,1451922.62,100.0,100,1.0,6.38,6.38,18.16,0.68,4508.0,47.52,42.17,2.04,8.27,348.86,0.0,298144.28,467444.85,1530744.7,10.32,5.52,171702.0,69.75,23.2,128.99,139.35,3000.0,0.0,1981551.5,1998189.55,0.0
Burundi,2000,135330.22,52674.85,100.0,100,1.0,6.69,6.69,9.67,3.08,1011.0,24.13,74.18,0.79,0.89,60.0,0.0,4.77,86103.65,13236.65,12.51,15.61,56224.0,71.65,21.32,205.93,184.67,3000.0,0.0,88750.5,99340.29,0.0
Belgium,2000,161118412.74,146660213.92,100.0,100,1.0,3.69,3.69,10.84,8.62,169459.0,63.27,32.93,1.11,2.69,3000.0,0.0,11949510.68,37984427.78,81565.03,11.67,10.69,879621.0,72.22,20.37,17.75,20.74,3000.0,0.0,25568437.8,38065992.81,0.0
Benin,2000,1767867.97,326195.0,100.0,100,1.0,-11.02,-11.02,11.72,3.75,2373.0,29.5,67.85,0.0,2.65,279.0,0.0,0.0,243953.54,89822.53,15.02,7.13,139300.0,70.21,19.66,206.24,388.71,3000.0,0.0,297643.3,333776.07,0.0
Burkina Faso,2000,667458.01,199341.15,100.0,100,1.0,-3.79,-3.79,9.94,5.16,4782.0,24.28,66.65,0.77,8.3,3000.0,0.0,372.88,204935.53,50960.97,13.5,9.75,202862.0,71.58,19.67,146.15,225.14,3000.0,0.0,244062.61,255896.51,0.0
Bangladesh,2000,7579172.25,6490279.83,100.0,100,1.0,,,6.98,8.14,20420.0,27.54,69.24,0.48,2.75,668.07,0.0,2181822.6,9628338.07,109342.44,14.16,19.09,309558.0,75.17,17.58,49.21,60.72,3000.0,0.0,9087702.3,9737680.51,0.0
Bulgaria,2000,5530139.66,4999523.65,100.0,100,1.0,9.66,9.66,8.41,8.14,24599.0,57.53,38.09,1.82,2.57,3000.0,0.0,153641.52,996532.54,259942.49,12.16,11.84,532425.0,73.24,19.31,72.62,88.76,3000.0,0.0,1156438.14,1256475.03,0.0
Bahrain,2000,3320182.24,2972889.57,100.0,100,1.0,,,10.87,9.86,10951.0,52.12,39.85,2.26,5.77,580.69,0.0,1322513.54,3210678.85,19775.46,12.43,8.61,291372.0,73.08,19.68,88.36,104.09,3000.0,0.0,2890293.33,3230454.31,0.0
"Bahamas, The",2000,4442359.45,925035.3,100.0,100,1.0,6.94,6.94,7.14,13.29,4771.0,30.52,64.89,2.85,1.74,274.5,0.0,742076.5,1129041.89,190929.43,12.46,31.67,184935.0,72.26,20.65,127.96,147.08,3000.0,0.0,1176204.9,1319971.32,0.0
Bosnia and Herzegovina,2000,4386461.44,900917.9,100.0,100,,,,5.64,6.25,13232.0,45.93,45.27,1.82,6.98,375.58,0.0,9835.9,927998.25,86173.14,12.66,10.9,246245.0,73.31,19.52,63.19,70.17,3000.0,0.0,972736.68,1014171.39,0.0
Belarus,2000,9175233.86,6747356.23,100.0,100,1.0,13.82,13.82,5.44,5.32,20549.0,53.95,43.41,0.55,2.09,525.39,0.0,161795.95,1938306.06,134313.95,11.86,10.45,374494.0,73.4,19.91,59.63,62.25,3000.0,0.0,1744705.59,2072620.01,0.0
Belize,2000,438876.42,325105.73,100.0,100,1.0,25.32,25.32,6.98,4.32,4437.0,22.92,69.98,1.28,5.81,1153.67,0.0,38768.43,393530.99,60166.87,12.75,23.08,156171.0,71.86,20.76,115.84,143.66,3000.0,0.0,301733.26,453697.86,0.0
Bermuda,2000,4539668.66,204704.46,100.0,100,,,,8.1,1.76,1936.0,37.24,56.35,2.69,3.72,262.64,0.0,8677.24,82582.24,144035.65,12.75,8.47,90037.0,68.87,22.96,152.38,227.43,3000.0,0.0,219073.55,226617.89,0.0
Bolivia,2000,1663606.08,1063524.92,100.0,100,1.0,4.92,4.92,9.66,6.0,7318.0,58.08,33.42,1.11,7.39,1422.35,0.0,25414.26,867612.66,338036.69,14.11,9.83,240646.0,72.27,20.2,100.27,147.55,3000.0,0.0,936300.81,1205649.35,0.0
Brazil,2000,71812886.29,58730966.99,100.0,100,1.0,7.72,7.72,7.54,11.16,148779.0,54.15,40.18,1.79,3.88,3000.0,0.0,24531592.12,73699547.65,759291.77,11.81,13.21,838745.0,72.31,20.27,19.08,22.74,3000.0,0.0,62656692.07,74458839.43,0.0
Barbados,2000,2497066.53,597526.49,100.0,100,1.0,4.05,4.05,8.41,3.88,11558.0,29.61,58.24,7.13,5.03,274.5,0.0,133269.27,299856.11,296548.81,13.19,12.93,320659.0,72.22,19.39,93.43,139.19,3000.0,0.0,516283.03,596404.91,0.0
Brunei,2000,1663031.43,3635067.86,100.0,100,,,,5.52,2.95,3606.0,40.63,53.88,1.05,4.44,146.87,0.0,1729475.49,3527279.51,194289.99,12.59,5.86,165966.0,72.63,19.94,148.03,194.2,3000.0,0.0,3709420.37,3721569.5,0.0
Bhutan,2000,39934.22,24337.32,100.0,100,,,,14.72,24.86,845.0,31.83,63.91,1.66,2.6,210.0,0.0,290.64,24045.32,3864.7,13.3,10.59,64025.0,70.8,18.52,272.78,536.69,3000.0,0.0,26546.31,27910.02,0.0
Bunkers,2000,3966454.68,144152.66,100.0,100,,,,7.33,2.5,12430.0,73.77,15.87,1.45,8.91,412.65,0.0,97.87,117610.59,1708.81,13.53,5.08,345790.0,74.6,17.45,90.0,131.09,3000.0,0.0,116322.42,119319.4,0.0
Bouvet Island,2000,39.6,362.17,100.0,100,,,,2.36,0.99,13.0,23.08,61.54,7.69,7.69,20.0,0.0,4.54,111.51,0.04,11.75,11.3,815.0,65.15,32.76,92.31,38.46,2000.61,0.0,22.93,111.54,0.0
Botswana,2000,496175.71,1061845.03,100.0,100,1.0,,,18.05,4.5,2699.0,33.27,53.28,0.44,13.0,634.81,0.0,496.17,187986.05,973218.51,13.24,14.78,137062.0,72.09,20.02,165.62,234.83,3000.0,0.0,330187.1,1161204.56,0.0
Central African Republic,2000,134392.68,237823.73,100.0,100,1.0,-13.68,-13.68,6.17,1.05,3649.0,16.03,73.01,2.49,8.47,350.0,0.0,194.73,68306.98,384217.3,12.31,9.9,107226.0,71.27,21.96,86.68,112.0,3000.0,0.0,96882.6,452524.28,0.0
Canada,2000,253422985.74,288530015.9,100.0,100,1.0,5.54,5.54,8.47,8.93,211504.0,67.35,26.46,2.21,3.98,3000.0,0.0,149163121.95,267798310.14,17341910.85,11.79,11.28,890159.0,72.04,20.48,14.3,17.18,3000.0,0.0,260331826.06,285140220.99,0.0
Cocos (Keeling) Islands,2000,6861.63,1423.91,100.0,100,,,,11.06,6.1,224.0,63.39,33.93,0.89,1.79,61.43,0.0,21.37,478.84,838.66,12.07,11.26,23250.0,72.27,22.34,298.66,261.16,880.68,0.0,999.01,1317.51,0.0
Switzerland,2000,163234167.18,92940004.38,100.0,100,1.0,8.45,8.45,6.58,5.96,277918.0,39.66,55.63,1.22,3.48,3000.0,0.0,60468128.71,136900670.58,1526474.71,11.55,8.59,880964.0,72.25,20.47,10.98,12.1,3000.0,0.0,118658659.97,138427074.74,70.55
Chile,2000,19475338.6,19627101.04,100.0,100,1.0,9.38,9.38,11.05,5.98,56212.0,65.49,26.82,1.31,6.38,3000.0,0.0,4443324.18,24177231.88,399680.25,12.53,9.26,693654.0,72.78,19.57,40.38,53.94,3000.0,0.0,22459472.59,24576912.13,0.0
China,2000,227975783.73,405870847.48,100.0,100,1.0,16.55,16.55,9.15,10.44,360025.0,64.44,31.22,1.45,2.89,3000.0,0.0,357888468.25,476577289.01,351599.8,11.76,12.21,908347.0,72.01,20.5,8.65,10.24,3000.0,0.0,455170680.5,476928706.21,182.6
Cote d'Ivoire,2000,4417910.32,4393614.99,100.0,100,1.0,-7.4,-7.4,8.32,5.46,13968.0,18.26,74.08,1.2,6.46,1153.67,0.0,252164.84,4810453.21,479500.51,13.28,12.89,311202.0,73.13,19.24,74.17,95.91,3000.0,0.0,4484522.24,5289953.72,0.0
Cameroon,2000,2237714.55,2489206.57,100.0,100,1.0,6.19,6.19,9.45,3.84,9245.0,23.61,69.58,0.66,6.14,1289.58,0.0,1832821.34,3799157.65,282904.24,13.73,8.96,262440.0,72.26,19.51,96.16,137.51,3000.0,0.0,3586237.09,4082061.9,0.0
"Congo, Rep.",2000,1097188.89,3130188.65,100.0,100,,,,7.17,3.35,3617.0,21.84,69.67,0.8,7.69,1289.58,0.0,2843831.08,3326222.21,84864.12,10.67,4.92,112500.0,67.09,24.9,98.87,150.1,3000.0,0.0,3246096.68,3411086.33,0.0
Cook Islands,2000,29858.59,9472.41,100.0,100,,,,6.35,1.58,705.0,29.22,44.11,0.99,25.67,262.64,0.0,551.35,1539.4,7730.78,14.02,13.82,39331.0,73.75,16.88,173.48,349.22,3000.0,0.0,7685.85,9270.18,0.0
Colombia,2000,11905468.64,13962910.78,100.0,100,1.0,5.02,5.02,9.4,10.53,46043.0,62.9,32.41,2.0,2.68,3000.0,0.0,9707991.27,15832533.62,201946.67,12.25,12.8,656644.0,73.23,19.59,46.95,55.51,3000.0,0.0,15242536.78,16034480.29,0.0
Comoros,2000,77007.99,17203.27,100.0,100,1.0,-32.59,-32.59,3.86,4.02,645.0,15.81,81.09,1.86,1.24,98.1,0.0,0.28,14184.44,11972.49,12.87,12.84,30659.0,70.82,23.96,161.55,86.67,3000.0,0.0,17549.18,26156.93,0.0
Cape Verde,2000,484106.92,19542.31,100.0,100,1.0,-4.88,-4.88,5.76,1.78,3013.0,8.26,85.43,0.73,5.58,40.0,0.0,49.62,6161.69,27413.22,11.16,11.36,94640.0,72.31,21.53,97.81,95.59,3000.0,0.0,32064.33,33574.9,0.0
Costa Rica,2000,5812515.13,6967452.2,100.0,100,1.0,0.35,0.35,6.35,11.47,34161.0,45.06,49.12,1.09,4.73,3000.0,0.0,5689756.24,8938798.6,174806.52,12.64,15.96,586541.0,72.87,19.46,55.63,76.01,3000.0,0.0,8240075.5,9113605.11,0.0
Cuba,2000,3867671.66,1348835.65,100.0,100,1.0,5.02,5.02,6.87,18.87,8817.0,51.09,36.4,2.96,9.55,518.67,0.0,514508.57,1012343.23,349584.49,12.34,20.96,220917.0,71.26,21.76,75.99,99.02,3000.0,0.0,1125081.63,1361927.71,0.0
Christmas Island,2000,16326.46,20919.94,100.0,100,,,,12.5,0.98,374.0,67.38,32.35,0.0,0.27,45.0,0.0,0.0,1637.11,15516.08,11.13,4.77,32082.0,71.49,23.69,241.18,172.46,1076.94,0.0,17047.38,17153.2,0.0
Cayman Islands,2000,2444254.22,271794.43,100.0,100,,,,9.85,0.54,1429.0,41.5,49.41,4.13,4.97,181.38,0.0,1403.79,30885.6,338604.2,12.25,7.99,79928.0,70.27,23.24,221.34,141.78,3000.0,0.0,357475.92,369489.81,0.0
Cyprus,2000,6549512.51,950362.13,100.0,100,1.0,3.11,3.11,12.31,11.25,10500.0,67.88,25.23,2.65,4.25,3000.0,0.0,31565.59,177361.34,23869.86,13.07,13.37,344867.0,72.59,19.35,107.24,157.41,3000.0,0.0,178871.47,201231.2,0.0
Czech Republic,2000,30886773.36,28962283.43,100.0,100,1.0,5.74,5.74,8.31,9.69,58095.0,56.84,40.48,0.97,1.71,3000.0,0.0,1098130.17,4797457.69,255387.72,11.59,11.39,684498.0,73.02,20.02,40.24,41.83,3000.0,0.0,4537168.38,5052845.4,0.0
Germany,2000,469299937.87,528871322.61,100.0,100,1.0,2.85,2.85,11.23,11.71,324131.0,65.04,31.19,1.61,2.15,3000.0,0.0,132660121.46,207199021.47,292008.97,11.74,10.86,909916.0,71.98,20.56,9.62,11.34,3000.0,0.0,189730686.15,207490966.03,64.41
Djibouti,2000,650179.57,12305.6,100.0,100,,,,5.27,7.99,1514.0,14.99,66.51,1.78,16.71,59.61,0.0,5909.47,22708.41,9860.39,12.77,12.44,58319.0,66.36,23.0,152.11,257.79,3000.0,0.0,18497.21,32568.8,0.0
Dominica,2000,246808.81,103663.22,100.0,100,1.0,5.62,5.62,8.3,10.31,7296.0,33.18,63.46,0.97,2.38,300.0,0.0,23348.46,114792.42,21249.05,12.97,18.15,248360.0,72.68,19.46,111.35,156.18,3000.0,0.0,128792.0,136041.47,0.0
Denmark,2000,42192576.62,43932982.34,100.0,100,1.0,0.24,0.24,9.68,13.65,116316.0,57.86,38.62,1.16,2.36,3000.0,0.0,6203798.47,14158898.83,104709.13,12.0,14.49,833277.0,72.47,20.03,24.02,29.69,3000.0,0.0,12165418.83,14263607.95,0.0
Dominican Republic,2000,9666282.95,4991547.15,100.0,100,,,,6.77,8.33,15712.0,32.19,61.54,2.18,4.09,1289.58,0.0,1036332.82,5149054.95,198919.47,13.27,16.91,373314.0,74.03,18.58,78.65,97.16,3000.0,0.0,5229340.49,5347974.42,0.0
Algeria,2000,14649837.66,18698255.65,100.0,100,1.0,-0.05,-0.05,8.96,2.19,9208.0,20.69,67.63,0.97,10.72,3000.0,0.0,19000592.22,22927321.67,6786816.73,11.31,5.1,196594.0,70.89,21.48,68.41,94.54,3000.0,0.0,29407700.13,29714138.4,0.0
Ecuador,2000,3919807.65,6177280.69,100.0,100,1.0,6.87,6.87,8.84,13.94,26562.0,48.51,44.55,1.25,5.68,1153.67,0.0,5037599.77,6907956.92,103878.06,13.46,17.97,487373.0,73.57,18.61,59.17,84.22,3000.0,0.0,6334344.23,7011834.99,0.0
"Egypt, Arab Rep.",2000,25481954.63,6026704.81,100.0,100,1.0,-6.29,-6.29,8.3,5.92,51212.0,39.31,54.17,1.39,5.14,3000.0,0.0,4262157.74,8543420.6,288044.43,12.75,10.01,611320.0,73.17,19.14,40.29,51.44,3000.0,0.0,8520003.49,8831463.75,1.28
Eritrea,2000,223913.0,14117.9,100.0,100,,,,5.14,1.85,2462.0,10.15,81.23,0.32,8.29,144.94,0.0,118.15,7229.81,16578.59,12.9,10.41,68966.0,70.17,21.73,96.75,130.3,3000.0,0.0,21710.9,23808.4,0.0
Western Sahara,2000,2901.75,10675.45,100.0,100,,,,17.42,4.84,309.0,77.35,6.8,0.0,15.86,1289.58,0.0,0.0,2908.55,7358.92,11.12,4.62,20647.0,68.71,26.73,154.69,150.16,2992.05,0.0,10212.34,10267.47,0.0
Spain,2000,149159043.89,108817084.3,100.0,100,1.0,2.7,2.7,12.23,12.13,198104.0,69.56,27.08,1.08,2.27,3000.0,0.0,12785805.16,27808091.67,128412.81,11.77,11.86,883298.0,72.34,20.25,15.26,17.76,3000.0,0.0,25738788.28,27936504.47,0.0
Estonia,2000,5124716.69,4702310.3,100.0,100,1.0,10.87,10.87,6.64,5.1,6497.0,51.47,46.39,0.82,1.32,201.5,0.0,589486.91,983644.06,74631.94,12.42,9.45,262373.0,74.17,20.0,123.76,111.79,3000.0,0.0,971944.0,1058276.0,0.0
Ethiopia(excludes Eritrea),2000,1411561.62,461346.74,100.0,100,1.0,-4.63,-4.63,8.71,3.21,5165.0,30.15,62.15,0.77,6.93,1067.38,0.0,519.88,575825.48,80533.55,13.41,14.78,167323.0,70.27,21.88,109.68,144.59,3000.0,0.0,651175.91,656359.04,0.0
Finland,2000,35971935.37,44876354.49,100.0,100,1.0,3.53,3.53,6.97,7.2,72481.0,57.71,39.81,0.99,1.49,3000.0,0.0,4943296.55,17035533.45,77602.77,11.62,8.06,756027.0,72.97,19.94,35.38,38.52,3000.0,0.0,16629147.2,17113136.22,0.0
Fiji,2000,718595.61,578721.2,100.0,100,1.0,,,6.96,8.65,5807.0,24.25,68.12,0.57,7.06,3000.0,0.0,76135.38,622749.39,52515.16,15.19,26.86,217399.0,74.94,17.59,119.03,160.75,3000.0,0.0,657794.73,675249.38,15.17
Falkland Island,2000,118071.07,91818.33,100.0,100,,,,12.5,5.74,1078.0,71.99,27.64,0.0,0.37,1153.67,0.0,0.0,153330.77,13575.82,13.07,12.94,35510.0,72.61,23.47,71.15,57.98,3000.0,0.0,140264.64,166906.59,0.0
France,2000,312137281.33,296660197.44,100.0,100,1.0,2.95,2.95,12.65,11.33,262281.0,66.24,29.54,1.6,2.62,3000.0,0.0,51257074.01,93719450.63,76049.68,11.8,10.34,908053.0,72.0,20.5,11.85,14.12,3000.0,0.0,87284188.96,93795481.13,19.18
