Question,Segment Type,Segment Description,Answer,Count,Percentage
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Claremont McKenna College,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Oregon,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Oregon,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Oregon,Snapchat,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Oregon,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Chaparral High School,Instagram,1,0.5
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Chaparral High School,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Chaparral High School,Snapchat,1,0.5
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Chaparral High School,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Syracuse University,Instagram,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Syracuse University,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Syracuse University,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Syracuse University,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Waterloo,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Waterloo,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Waterloo,Snapchat,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Waterloo,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Mountain Vista High School,Instagram,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Mountain Vista High School,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Mountain Vista High School,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Mountain Vista High School,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas State University,Instagram,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas State University,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas State University,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas State University,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Illinois University Carbondale,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Illinois University Carbondale,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Illinois University Carbondale,Snapchat,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Illinois University Carbondale,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,George Washington University,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,George Washington University,Facebook,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,George Washington University,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,George Washington University,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Louisville,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Louisville,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Louisville,Snapchat,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Louisville,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Methodist University,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Methodist University,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Methodist University,Snapchat,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Methodist University,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Minnesota,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Minnesota,Facebook,1,0.5
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Minnesota,Snapchat,1,0.5
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Minnesota,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,York University,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,York University,Facebook,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,York University,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,York University,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Santa Clara University,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Santa Clara University,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Santa Clara University,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Santa Clara University,Linkedin,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Indiana University,Instagram,19,0.388
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Indiana University,Facebook,4,0.082
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Indiana University,Snapchat,24,0.49
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Indiana University,Linkedin,2,0.041
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Berkeley",Instagram,10,0.172
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Berkeley",Facebook,14,0.241
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Berkeley",Snapchat,32,0.552
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Berkeley",Linkedin,2,0.034
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,College of William and Mary,Instagram,8,0.205
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,College of William and Mary,Facebook,12,0.308
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,College of William and Mary,Snapchat,16,0.41
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,College of William and Mary,Linkedin,3,0.077
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Missouri,Instagram,7,0.189
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Missouri,Facebook,9,0.243
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Missouri,Snapchat,20,0.541
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Missouri,Linkedin,1,0.027
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Virginia Tech,Instagram,8,0.286
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Virginia Tech,Facebook,4,0.143
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Virginia Tech,Snapchat,16,0.571
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Virginia Tech,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Purdue University,Instagram,7,0.318
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Purdue University,Facebook,1,0.045
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Purdue University,Snapchat,13,0.591
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Purdue University,Linkedin,1,0.045
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Appalachian State University,Instagram,7,0.175
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Appalachian State University,Facebook,5,0.125
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Appalachian State University,Snapchat,27,0.675
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Appalachian State University,Linkedin,1,0.025
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Emory University,Instagram,8,0.276
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Emory University,Facebook,8,0.276
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Emory University,Snapchat,12,0.414
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Emory University,Linkedin,1,0.034
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Arizona,Instagram,9,0.29
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Arizona,Facebook,4,0.129
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Arizona,Snapchat,18,0.581
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Arizona,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Truman State University,Instagram,9,0.3
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Truman State University,Facebook,9,0.3
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Truman State University,Snapchat,11,0.367
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Truman State University,Linkedin,1,0.033
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin-Madison,Instagram,21,0.328
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin-Madison,Facebook,11,0.172
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin-Madison,Snapchat,28,0.438
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin-Madison,Linkedin,4,0.063
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio State University,Instagram,8,0.348
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio State University,Facebook,2,0.087
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio State University,Snapchat,12,0.522
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio State University,Linkedin,1,0.043
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? $90K-$240k,Instagram,69,0.217
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? $90K-$240k,Facebook,59,0.186
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? $90K-$240k,Snapchat,177,0.557
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? $90K-$240k,Linkedin,13,0.041
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? No,Instagram,355,0.278
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? No,Facebook,189,0.148
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? No,Snapchat,685,0.537
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? No,Linkedin,46,0.036
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? Yes,Instagram,145,0.238
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? Yes,Facebook,108,0.177
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? Yes,Snapchat,334,0.548
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? Yes,Linkedin,22,0.036
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Didn't vote,Instagram,66,0.324
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Didn't vote,Facebook,31,0.152
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Didn't vote,Snapchat,100,0.49
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Didn't vote,Linkedin,7,0.034
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make?  < $50K,Instagram,40,0.245
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make?  < $50K,Facebook,17,0.104
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make?  < $50K,Snapchat,101,0.62
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make?  < $50K,Linkedin,5,0.031
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Writing in Bernie,Instagram,27,0.26
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Writing in Bernie,Facebook,20,0.192
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Writing in Bernie,Snapchat,54,0.519
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Writing in Bernie,Linkedin,3,0.029
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Hillary Clinton,Instagram,135,0.236
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Hillary Clinton,Facebook,121,0.212
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Hillary Clinton,Snapchat,297,0.519
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Hillary Clinton,Linkedin,19,0.033
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2019,Instagram,103,0.312
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2019,Facebook,55,0.167
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2019,Snapchat,163,0.494
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2019,Linkedin,9,0.027
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? White,Instagram,237,0.27
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? White,Facebook,154,0.176
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? White,Snapchat,450,0.513
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? White,Linkedin,36,0.041
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? Mac 🖥,Instagram,171,0.268
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? Mac 🖥,Facebook,117,0.183
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? Mac 🖥,Snapchat,330,0.516
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? Mac 🖥,Linkedin,21,0.033
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Post-grad,Instagram,97,0.274
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Post-grad,Facebook,74,0.209
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Post-grad,Snapchat,170,0.48
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Post-grad,Linkedin,13,0.037
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? PC 💻,Instagram,93,0.252
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? PC 💻,Facebook,60,0.163
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? PC 💻,Snapchat,200,0.542
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? PC 💻,Linkedin,16,0.043
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2018,Instagram,39,0.214
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2018,Facebook,48,0.264
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2018,Snapchat,86,0.473
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2018,Linkedin,9,0.049
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? > $240K,Instagram,56,0.289
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? > $240K,Facebook,36,0.186
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? > $240K,Snapchat,93,0.479
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? > $240K,Linkedin,9,0.046
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 35 or older,Instagram,1,0.5
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 35 or older,Facebook,1,0.5
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 35 or older,Snapchat,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 35 or older,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 31-34,Instagram,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 31-34,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 31-34,Snapchat,1,1.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 31-34,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? In-between,Instagram,125,0.281
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? In-between,Facebook,54,0.121
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? In-between,Snapchat,253,0.569
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? In-between,Linkedin,13,0.029
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Liberal 🔷,Instagram,166,0.279
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Liberal 🔷,Facebook,124,0.209
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Liberal 🔷,Snapchat,285,0.48
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Liberal 🔷,Linkedin,19,0.032
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Conservative 🐘,Instagram,102,0.248
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Conservative 🐘,Facebook,53,0.129
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Conservative 🐘,Snapchat,234,0.568
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Conservative 🐘,Linkedin,23,0.056
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 25-30,Instagram,1,0.167
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 25-30,Facebook,2,0.333
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 25-30,Snapchat,1,0.167
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 25-30,Linkedin,2,0.333
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 18-24,Instagram,33,0.224
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 18-24,Facebook,29,0.197
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 18-24,Snapchat,79,0.537
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 18-24,Linkedin,6,0.041
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 15-17,Instagram,18,0.254
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 15-17,Facebook,8,0.113
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 15-17,Snapchat,43,0.606
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 15-17,Linkedin,2,0.028
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 14 or younger,Instagram,1,0.5
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 14 or younger,Facebook,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 14 or younger,Snapchat,1,0.5
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 14 or younger,Linkedin,0,0.0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? College,Instagram,1116,0.265
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? College,Facebook,711,0.169
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? College,Snapchat,2265,0.537
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? College,Linkedin,127,0.03
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Other,Instagram,9,0.231
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Other,Facebook,6,0.154
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Other,Snapchat,22,0.564
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Other,Linkedin,2,0.051
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Gary Johnson,Instagram,36,0.22
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Gary Johnson,Facebook,29,0.177
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Gary Johnson,Snapchat,86,0.524
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Gary Johnson,Linkedin,13,0.079
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? None/Other,Instagram,74,0.228
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? None/Other,Facebook,58,0.178
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? None/Other,Snapchat,179,0.551
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? None/Other,Linkedin,14,0.043
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Muslim,Instagram,3,0.176
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Muslim,Facebook,2,0.118
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Muslim,Snapchat,11,0.647
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Muslim,Linkedin,1,0.059
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Jewish,Instagram,12,0.132
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Jewish,Facebook,32,0.352
